path,format,ocr,keywords,all_keywords,categories,subjectivity,polarity,topics
OCR_dataset/ucsf_mss2015-01_011_061/40.pdf,handwritten,"CALIFORNIAS WAR ON AIDS 1987-1991
Estimated Service Utilization Chart for H.I.V. infection stages III +IV
6%
Inpatient
care
10%
Residential
Hospice
Facility
5%
50%
Skilled
Outpatient care
Nursing Facility
20%
Home Health Care
15%
Residential
Services
PATIENT CATEGORIES USING MORE THAN ONE SERVICE COMPONENT.
Casemanagement SERVICES for 100% of patient population.
Emotional Support SERVICES for 100% of patient population.
5% Intermittent Nursing.
15% Attendant Care.
12% Home Support Services.
1% Critical Mental Health Care in the home.
10% Shared and Referred housing.
5% Shanti-type - housing.
OGLE 5/1/87
","['care', 'home', 'patient', 'service', 'residential']","['care', 'home', 'patient', 'service', 'residential', 'facility', 'nursing', 'health', 'population', 'support', 'housing', 'war', 'utilization', 'chart', 'infection', 'inpatient', 'hospice', 'skilled', 'outpatient', 'one', 'component', 'emotional', 'intermittent', 'attendant', 'critical', 'mental', 'ogle']","{'PERSON': [], 'NORP': [], 'FAC': [], 'ORG': ['Residential\nHospice\nFacility', 'Nursing Facility', 'Home Health Care', 'Emotional Support SERVICES', 'Intermittent Nursing', 'Home Support Services'], 'GPE': [], 'LOC': [], 'PRODUCT': [], 'EVENT': [], 'WORK_OF_ART': [], 'LAW': [], 'DATE': ['1987-1991'], 'TIME': []}",0.5083333333333333,0.18333333333333332,"['Health', 'Nursing']"
OCR_dataset/ucsf_mss2015-01_011_061/9.pdf,handwritten,"TO (ad Amith & bearwwffe
Your effort an the ""recolations'
patient
consideable. I have
the follows comments and
suggestions
Commeats:
1) AIDS/ARC limit I preseme you
purposely excluded HIU positive
people This may mache practical
sense but it's This little
public health sense and will
preservably add
2.) Recalutional Patient. The stress
of without the knowledse of
those exposed""is not slies
mentioned in the recalatiant
definition (Pq2)
3.) Must define exactly of what what
state Acceptable parties There is 00 definulin
scul considered safe sex
-
behaviors and in the deserve
informing messagest, of &
of them what is, trasceptable
those exposed (ie what
will present action).
","['patient', 'sense', 'exposed', 'effort', 'limit']","['patient', 'sense', 'exposed', 'effort', 'limit', 'purposely', 'positive', 'people', 'may', 'practical', 'little', 'public', 'health', 'add', 'stress', 'without', 'definition', 'must', 'define', 'exactly', 'state', 'acceptable', 'considered', 'safe', 'sex', 'deserve', 'present', 'action']","{'PERSON': [], 'NORP': ['definulin'], 'FAC': [], 'ORG': ['Amith & bearwwffe', 'HIU', 'preservably'], 'GPE': ['slies'], 'LOC': [], 'PRODUCT': [], 'EVENT': [], 'WORK_OF_ART': [], 'LAW': [], 'DATE': [], 'TIME': []}",0.28030303030303033,0.12711038961038962,[]
OCR_dataset/mss94-60_8_46_peopleofcolorcaucus1986-89/68.pdf,handwritten,"may 12, 1987 POC caucus
affirmative action Policy : implementation
trust building
Tim : July, 1985
present
AA = hiring - advertising for applicant pool
= promotions
:
68% of or minorities (out of 41 hires)
47%
35%
10 promotions (69, 4 POC, I white male)
to
t
I
POC of
staff development career development
-pitting 04 against POC ?
- recruiting volunteers/interns who are POC ?
- use of caucus ?
- quotas for applicant pools ?
BRIAN : assessing qualified internal candidates before external
:
no inform distinction by new/old position
- - rafting philosophy of roundation's education efforts in ethnic minority
communities
reverse discrimination (onee shit) / what
have i / help / done to you / is white /
the backing / day 1, 2, 3.1.1 / croben spirit
frustration masks projection of anger/owned
snger / for Ntonake shange / help me zake
","['caucus', 'applicant', 'white', 'development', 'help']","['caucus', 'applicant', 'white', 'development', 'help', 'may', 'affirmative', 'action', 'policy', 'implementation', 'trust', 'building', 'present', 'advertising', 'pool', 'male', 'staff', 'career', 'recruiting', 'use', 'qualified', 'internal', 'external', 'inform', 'distinction', 'position', 'philosophy', 'education', 'ethnic', 'minority', 'reverse', 'discrimination', 'done', 'backing', 'day', 'spirit', 'frustration', 'projection']","{'PERSON': ['Tim', 'BRIAN'], 'NORP': [], 'FAC': [], 'ORG': ['POC', 'AA', 'POC', 'croben'], 'GPE': [], 'LOC': [], 'PRODUCT': [], 'EVENT': [], 'WORK_OF_ART': [], 'LAW': [], 'DATE': ['12, 1987', 'July, 1985'], 'TIME': []}",0.2222222222222222,0.05555555555555555,"['People & Society', 'Social Issues & Advocacy', 'Law & Government']"
OCR_dataset/mss94-60_8_46_peopleofcolorcaucus1986-89/73.pdf,handwritten,"Other Ohestions:
should we have more process nutings?
at what leveles)?
what you see Re/
Racin OSEA
sexism @ SFAF
Clamison @ SFAF.
difference C SEAF
ourthop of the deserv
What was your Denieres to the be
manlatory ?
What Resistance did you observe
to thi- preen for yourley a other
should it be Customer?
h hat do you Saggest it an next step?
","['process', 'see', 'difference', 'resistance', 'observe']","['process', 'see', 'difference', 'resistance', 'observe', 'preen', 'customer', 'hat', 'next', 'step']","{'PERSON': ['Ohestions', 'Clamison', 'deserv', 'Denieres', 'yourley', 'Saggest'], 'NORP': ['SEAF'], 'FAC': [], 'ORG': ['SFAF', 'SFAF'], 'GPE': [], 'LOC': [], 'PRODUCT': [], 'EVENT': [], 'WORK_OF_ART': [], 'LAW': [], 'DATE': [], 'TIME': []}",0.3125,0.0625,[]
OCR_dataset/mss94-60_22_15/28.pdf,handwritten,"Isabel Supervision
Tagalog- Jane - Getting Victors stuff - Poster welly will be check in
with Isabel.
All trainees
Sex QUIZ - Hotline.
Developing exit interview Isabel till finish this week.
Retention system - Isabel will finish this week, or early next
week Isabel will check will GiTney.
I
Supervision of Hotline when Holline staffis in meeting;
when Tuesday 12:00-2:00 -
2Ruth leave of desence : 3 months - Check to set if she take she befor
Bertha's doing well with new volunteer's -
Move-
Check with Lance on Move can we set-up prior to
Monday - Richard see him-
","['check', 'week', 'supervision', 'finish', 'jane']","['check', 'week', 'supervision', 'finish', 'jane', 'getting', 'stuff', 'poster', 'welly', 'sex', 'quiz', 'exit', 'interview', 'till', 'retention', 'system', 'early', 'next', 'meeting', 'leave', 'set', 'take', 'well', 'new', 'volunteer', 'lance', 'move', 'prior', 'see']","{'PERSON': ['Isabel Supervision', 'Tagalog- Jane - Getting', 'GiTney', 'Bertha'], 'NORP': ['Holline'], 'FAC': [], 'ORG': ['Lance on Move'], 'GPE': [], 'LOC': [], 'PRODUCT': [], 'EVENT': [], 'WORK_OF_ART': [], 'LAW': [], 'DATE': ['this week', 'this week', 'early next\nweek', 'Tuesday', '2Ruth', '3 months - Check', 'Monday - Richard'], 'TIME': ['12:00-2:00']}",0.35090909090909095,0.14727272727272728,['Arts & Entertainment']
OCR_dataset/mss94-60_22_15/99.pdf,handwritten,"EE Collaborations - FY 87-88
Oct. 87
Collaborated to provide lunchtime info tables
in the Mission + Bayview with :
- latino AIDS Project
lyn -
- MAPA
in case you
- - Midcity Consortium
want this for
the health
-
commission R
Aug -
Extensive technical assistance, trainings,
Nov 87
collaborations with Indian AIDS Project .
All
AIDS Educator Trainings - used
year
by numerous SF groups to
train new staff, incl.
- City Clinic
- L.A. P.
- - Westside clinic
- - Asian AIDS Project
- Asian AIDS Task Force
-Pilipino - AIDS Ed. Project
- AIDS Health Project
- Urban Health Study
- - Indian AIDS Project
- Lyon - Martin Clinic
- CA Nurses Assoc. .
- Chinese for Affermative Action
- Mission Neigh Heth Ctr.
/ Ctr for SEast Asian Refugee Resettlement
etc
(over)
","['project', 'health', 'clinic', 'mission', 'provide']","['project', 'health', 'clinic', 'mission', 'provide', 'tables', 'case', 'consortium', 'want', 'commission', 'extensive', 'technical', 'assistance', 'educator', 'used', 'year', 'numerous', 'train', 'new', 'staff', 'city', 'task', 'force', 'urban', 'study', 'martin', 'action', 'neigh', 'refugee', 'resettlement']","{'PERSON': ['L.A. P.', 'Project\n- AIDS', 'Heth Ctr'], 'NORP': ['Indian', 'Asian', 'Chinese'], 'FAC': ['the Mission + Bayview'], 'ORG': ['EE Collaborations - FY 87-88', 'Midcity Consortium', 'City Clinic', 'Lyon - Martin Clinic'], 'GPE': ['SF'], 'LOC': [], 'PRODUCT': [], 'EVENT': [], 'WORK_OF_ART': [], 'LAW': [], 'DATE': ['Oct. 87', 'Nov 87', 'year'], 'TIME': []}",0.1487878787878788,0.023636363636363636,[]
OCR_dataset/mss94-28_008_016/35.pdf,handwritten,"X
Du
with
",[],[],"{'PERSON': [], 'NORP': [], 'FAC': [], 'ORG': [], 'GPE': [], 'LOC': [], 'PRODUCT': [], 'EVENT': [], 'WORK_OF_ART': [], 'LAW': [], 'DATE': [], 'TIME': []}",0.0,0.0,[]
OCR_dataset/mss94-28_008_016/42.pdf,handwritten,"John .
I evas down on Thurs
for a quick trip but will be
dran here on O ctober 10.
that day or just talk, give me a
If you want to have lunch
call to set up a time Until
later.
Jeremy Bell
707 869-2586
replied
","['quick', 'trip', 'day', 'talk', 'give']","['quick', 'trip', 'day', 'talk', 'give', 'want', 'lunch', 'call', 'set', 'time', 'later', 'bell']","{'PERSON': ['John', 'Jeremy Bell'], 'NORP': [], 'FAC': [], 'ORG': [], 'GPE': [], 'LOC': [], 'PRODUCT': [], 'EVENT': [], 'WORK_OF_ART': [], 'LAW': [], 'DATE': ['Thurs', 'that day'], 'TIME': []}",0.262962962962963,0.05925925925925924,[]
OCR_dataset/mss94-60_020_013/4.pdf,handwritten,"20. Dec. 91
wayne, revisions
submitted Enclosed to are AIDS office with
now
Thank comments you draft. for your advice
on Let me know if you have
the last
any Have more comments. a great holiday.
Stue.
","['office', 'thank', 'draft', 'advice', 'let']","['office', 'thank', 'draft', 'advice', 'let', 'know', 'last', 'great', 'holiday', 'stue']","{'PERSON': [], 'NORP': [], 'FAC': [], 'ORG': [], 'GPE': [], 'LOC': [], 'PRODUCT': [], 'EVENT': [], 'WORK_OF_ART': [], 'LAW': [], 'DATE': ['Dec. 91'], 'TIME': []}",0.4388888888888889,0.43333333333333335,[]
OCR_dataset/mss94-28_008_016/69.pdf,handwritten,"Audience interest ata the meeting ran high
concerning the possibility of following or modifying
for use in San Francisco a model for
community - based drug trials created by the
Community Research Initiative in New york
and currently in operation in several drug
trials there. Discussion shifted toward
how such trials might be conducted
here. Below are an interview
with Leland Tremain and excepts from
his comments at the meeting, reacranged
for continuity purposes and internut with
mr. Tremain stressed that he was speaking
by costed comments from the audience.
on this subject for himself and was
not representing Dr. Conart.
January
","['audience', 'meeting', 'community', 'drug', 'interest']","['audience', 'meeting', 'community', 'drug', 'interest', 'ran', 'high', 'concerning', 'possibility', 'following', 'use', 'san', 'model', 'based', 'research', 'initiative', 'new', 'york', 'currently', 'operation', 'several', 'discussion', 'toward', 'might', 'interview', 'continuity', 'speaking', 'subject']","{'PERSON': ['Tremain', 'Conart'], 'NORP': [], 'FAC': [], 'ORG': ['the\nCommunity Research Initiative'], 'GPE': ['San Francisco', 'New york', 'Leland'], 'LOC': [], 'PRODUCT': [], 'EVENT': [], 'WORK_OF_ART': [], 'LAW': [], 'DATE': ['January'], 'TIME': []}",0.3325541125541126,0.018528138528138532,[]
