path,format,ocr
OCR_dataset/ucsf_mss2015-01_011_061/40.pdf,handwritten,"CALIFORNIAS WAR ON AIDS 1987-1991
Estimated Service Utilization Chart for H.I.V. infection stages III +IV
6%
Inpatient
care
10%
Residential
Hospice
Facility
5%
50%
Skilled
Outpatient care
Nursing Facility
20%
Home Health Care
15%
Residential
Services
PATIENT CATEGORIES USING MORE THAN ONE SERVICE COMPONENT.
Casemanagement SERVICES for 100% of patient population.
Emotional Support SERVICES for 100% of patient population.
5% Intermittent Nursing.
15% Attendant Care.
12% Home Support Services.
1% Critical Mental Health Care in the home.
10% Shared and Referred housing.
5% Shanti-type - housing.
OGLE 5/1/87
"
OCR_dataset/ucsf_mss2015-01_011_061/9.pdf,handwritten,"TO (ad Amith & bearwwffe
Your effort an the ""recolations'
patient
consideable. I have
the follows comments and
suggestions
Commeats:
1) AIDS/ARC limit I preseme you
purposely excluded HIU positive
people This may mache practical
sense but it's This little
public health sense and will
preservably add
2.) Recalutional Patient. The stress
of without the knowledse of
those exposed""is not slies
mentioned in the recalatiant
definition (Pq2)
3.) Must define exactly of what what
state Acceptable parties There is 00 definulin
scul considered safe sex
-
behaviors and in the deserve
informing messagest, of &
of them what is, trasceptable
those exposed (ie what
will present action).
"
OCR_dataset/mss94-60_8_46_peopleofcolorcaucus1986-89/68.pdf,handwritten,"may 12, 1987 POC caucus
affirmative action Policy : implementation
trust building
Tim : July, 1985
present
AA = hiring - advertising for applicant pool
= promotions
:
68% of or minorities (out of 41 hires)
47%
35%
10 promotions (69, 4 POC, I white male)
to
t
I
POC of
staff development career development
-pitting 04 against POC ?
- recruiting volunteers/interns who are POC ?
- use of caucus ?
- quotas for applicant pools ?
BRIAN : assessing qualified internal candidates before external
:
no inform distinction by new/old position
- - rafting philosophy of roundation's education efforts in ethnic minority
communities
reverse discrimination (onee shit) / what
have i / help / done to you / is white /
the backing / day 1, 2, 3.1.1 / croben spirit
frustration masks projection of anger/owned
snger / for Ntonake shange / help me zake
"
OCR_dataset/mss94-60_8_46_peopleofcolorcaucus1986-89/73.pdf,handwritten,"Other Ohestions:
should we have more process nutings?
at what leveles)?
what you see Re/
Racin OSEA
sexism @ SFAF
Clamison @ SFAF.
difference C SEAF
ourthop of the deserv
What was your Denieres to the be
manlatory ?
What Resistance did you observe
to thi- preen for yourley a other
should it be Customer?
h hat do you Saggest it an next step?
"
OCR_dataset/mss94-60_22_15/28.pdf,handwritten,"Isabel Supervision
Tagalog- Jane - Getting Victors stuff - Poster welly will be check in
with Isabel.
All trainees
Sex QUIZ - Hotline.
Developing exit interview Isabel till finish this week.
Retention system - Isabel will finish this week, or early next
week Isabel will check will GiTney.
I
Supervision of Hotline when Holline staffis in meeting;
when Tuesday 12:00-2:00 -
2Ruth leave of desence : 3 months - Check to set if she take she befor
Bertha's doing well with new volunteer's -
Move-
Check with Lance on Move can we set-up prior to
Monday - Richard see him-
"
OCR_dataset/mss94-60_22_15/99.pdf,handwritten,"EE Collaborations - FY 87-88
Oct. 87
Collaborated to provide lunchtime info tables
in the Mission + Bayview with :
- latino AIDS Project
lyn -
- MAPA
in case you
- - Midcity Consortium
want this for
the health
-
commission R
Aug -
Extensive technical assistance, trainings,
Nov 87
collaborations with Indian AIDS Project .
All
AIDS Educator Trainings - used
year
by numerous SF groups to
train new staff, incl.
- City Clinic
- L.A. P.
- - Westside clinic
- - Asian AIDS Project
- Asian AIDS Task Force
-Pilipino - AIDS Ed. Project
- AIDS Health Project
- Urban Health Study
- - Indian AIDS Project
- Lyon - Martin Clinic
- CA Nurses Assoc. .
- Chinese for Affermative Action
- Mission Neigh Heth Ctr.
/ Ctr for SEast Asian Refugee Resettlement
etc
(over)
"
OCR_dataset/mss94-28_008_016/35.pdf,handwritten,"X
Du
with
"
OCR_dataset/mss94-28_008_016/42.pdf,handwritten,"John .
I evas down on Thurs
for a quick trip but will be
dran here on O ctober 10.
that day or just talk, give me a
If you want to have lunch
call to set up a time Until
later.
Jeremy Bell
707 869-2586
replied
"
OCR_dataset/mss94-60_020_013/4.pdf,handwritten,"20. Dec. 91
wayne, revisions
submitted Enclosed to are AIDS office with
now
Thank comments you draft. for your advice
on Let me know if you have
the last
any Have more comments. a great holiday.
Stue.
"
OCR_dataset/mss94-28_008_016/69.pdf,handwritten,"Audience interest ata the meeting ran high
concerning the possibility of following or modifying
for use in San Francisco a model for
community - based drug trials created by the
Community Research Initiative in New york
and currently in operation in several drug
trials there. Discussion shifted toward
how such trials might be conducted
here. Below are an interview
with Leland Tremain and excepts from
his comments at the meeting, reacranged
for continuity purposes and internut with
mr. Tremain stressed that he was speaking
by costed comments from the audience.
on this subject for himself and was
not representing Dr. Conart.
January
"
OCR_dataset/ucsf_mss2015-01_011_061/33.pdf,typed,"FRANCIS
#11
Health Policy and Research Foundation
of California
CALIFORNIA'S WAR ON AIDS
California AIDS Prevention/Treatment Plan 1987-1991
dedicated to the memory of Professor Beverlee A. Myers
May 1, 1987
Authors
Rev. Albert Ogle and Michael Gorman, Ph.D., M.P.H.
Co-Chairs
James Chin, M.D., M.P.H.
Michael Gottlieb, M.D.
Donald Francis, M.D., , D.Sc.
Alan McCutchan, M.D.
Warren Winkelstein, M.D., M.P.H.
Chairman
Michael Roth, M.D.
President and Acting Executive Director
Bruce B. Decker
Assisted by: David M. Smith, Executive Assistant
7985 Santa Monica Blvd., #109-251
Los Angeles, CA 90046
(213) 278-9355
"
