path,format,ocr
OCR_dataset/ucsf_mss2015-01_011_061/40.pdf,handwritten,"CALIFORNIAS WAR ON AIDS 1987-1991
Estimated Service Utilization Chart for H.I.V. infection stages II+TY
50%
Outpatient care
6%
In patient
Care
10%
Residential
Hospice
Facility
5%
Skilled
Nursing Facility
20%
Home Health Care
15%
1
Residential
Services
PATIENT CATEGORIES USING MORE THAN ONE SERVICE COMPONENT.
Casemanagement Services for 100% of patient population.
Emotional Support SERVICES for 100% of patient population.
* 5% Intermittent Nursing.
15% Attendant Care.
12% Home Support Services.
1% Critical Mental Health Care in the home.
10% Shared and Referred housing.
5% Shanti-type housing.
OGLE 5/1/87
"
OCR_dataset/ucsf_mss2015-01_011_061/9.pdf,handwritten,"To Call Amith & George Wolfe
Your effort
the recolutiant
ar
pabout is
the fall couns
suggestions:
Comments:
considerable. I have
сожи
and
1). AIDS/ARC hunt. I preserve you
puponly excluded HIV positive
people. This may macho practical
sease, but it makes little
public healths sense and will
preservably add confusion.
2.) Recolectant Patient. The stress
of ""withhout the knowledge of
those exposed"" is not stres
mentioned in
definition (692).
Safe Acceptable pract
the recalatrant
cas
·
There
is no
vo defimalis
3.), Must defure exacts
Gave considered safe sex.
behaviors and in the alesauce
of then what is thecceptable
informing messages f
exposed (ie what
prevent action).
these
well
"
OCR_dataset/mss94-60_8_46_peopleofcolorcaucus1986-89/68.pdf,handwritten,"May 12, 1987
рос само
ffirmative action Policy; implementation
Tim
July,
1985 → present
:
trist building
AA=
=
hiring - advertising for applicant pool
promotions
: 68% & or minorities (out of 41 hires)
47%
35%
: 10 promotions (62, 4 POC
+
I POC
4 POC, I white male)
&
:
• staff development, career development
-pitting I against POC ? ✓
- recruiting volunteers/interns who are POC ? *
-use
бо
сансно? Ф
- quotas for applicant pools?
BRIAN
assessing qualified internal candidates before external
uniform distinction by new/old position
: no
- drafting philosophy of soundation's Education efforts in ethnic minority
communities &
reverse discrimination (bull shit)/ what
have i / help / done to you / is white /
the backing / day 1, 2, 3..../ Groben spirit
frustration masks projection of anger/owned
anger / for Ntoŋake shange/help
me
zake
"
OCR_dataset/mss94-60_8_46_peopleofcolorcaucus1986-89/73.pdf,handwritten,"Other Chestions:
Should we have more process meetings?
at
what level(s)?
Krsteene
What Recs/ comed
you
ple
Re
Racin
Ⓒ SERE
Sexism @ STAT
Clomian
@ STAF.
differences C STAT
ountship.
of the diseme
What
war
your
Response to.
the ben
mandatory ?'
What Resistano
did you
obsen
Cy
to the pens for Hung
a other
Should it be continued?
What do you suggest is wa
Next step?
"
OCR_dataset/mss94-60_22_15/28.pdf,handwritten,"Isabel Supervisio
Tagalog - Jane - Getting Victors Stuff - Paster Welly will be check in
All trainees
Sex Quiz - Hotline.
with Isabel!
Developing exit interview-Isabel till finish this week.
Retention system - Isabel will finish this week, or early next
week. Isabel will check will Gilney.
1 Supenision of Hotline when Hotline staff is in meeting
When Tuesday 12:00-2:00-
2 Ruth leave of Absence: 3 months - Check to see if she take one befor.
Bertha's doing well with new volunteer's
Move-
-
Check with Lance on Move can we set-up prior to
Monday - Richard see him-
"
OCR_dataset/mss94-60_22_15/99.pdf,handwritten,"Oct. 87
Aug-
Nov 87
All
origil? EE Collaborations
EE Collaborations - FY 87-88
201
Collaborated to provide lunchtime info tables
2 in the Mission + Bayview with :
- Latino AIDS Project
launon
-
folyn
-
MAPA pel de besawar in case you
-
MidCity Consortium
want this for
the health
commission
Extensive technical assistance, trainings,
collaborations with Indian AIDS Project.
Educator Trainings
AIDS
used
year
by numerous
SF groups to
train new staff, incl.
R
-
City Clinic
-
-
-
5
t
L.A. P.
Westside Clinic
Asian AIDS Project
Asian AIDS Task Force.
- Pilipino AIDS Ed. Project
-
J
-
AIDS Health Project
Urban Health Study
Indian AIDS Project
Lyon - Martin Clinic
CA Nurses Assoc.
Chinese for Affirmative Action
Mission Neigh. Heth Cfr.
- Ctr for SEast Asian Refugee Resettlement
etc...
(over)
"
OCR_dataset/mss94-28_008_016/35.pdf,handwritten,"ve tape of Concent's
Ben Gardiner 626-12452
talk
notes
(symptom relief)
Dr. Bihari
+ inch bean in 2016 exc
I hv c dose
2 TBSP olive
Call (917) ve
caput dian)
Autabase
+'re Keith Bautai's visit
Alse-read Naltrexone
Rick Graham 673-474
Mty w Matilde
19th & 20th
a
658
(Note - ICAGC-
when is cuts, exactly?)
Dr. Carter
213/318-5593
Good news
(a apologize - 9/21)
??
New Divodious in Autiviral
Chemc
476-5808 to veg
Nov 3-5, SF
"
OCR_dataset/mss94-28_008_016/42.pdf,handwritten,"John
I was down on Thurs
for a quick trip but will be
drase here on
October 10.
of you want the have hunch
that day or just talk, give me a
call to set up a time. Vertil
later.
Jeremy Bell
207
869-258 6
replied
"
OCR_dataset/mss94-60_020_013/4.pdf,handwritten,"wwww
யகன்
]]
]]]
XIXIMIZIN
INZXXIXT
20. Dec. 91
Wayne,
Enclosed are revisions
submitted to AIDS office
new comments.
w
ith
Thank you for your advice
on the last draft.
Let me know if
any more comments.
You
have.
great holiday.
Have a
Stue.
"
OCR_dataset/mss94-28_008_016/69.pdf,handwritten,"Audience interest at the
Concerning
for
the
meeting
pan
high
possibility of fallowing or modifying
the
use in San Francisco a model for
community-based drug trials created by
Community Research Initiative in New York
and currently in operation in several drug
trials there. Discussion shifted toward
how such effo trials might be conducted
here. Below are an interview adeptor
with Leland Tremain and excerpts from
his comments at the meeting, rearranged
for continuity purposes and
intercut with
by can contred comments from the audience.
Mr. Tremain stressed that he was speaking
on this subject for himself and was
not representing Dr. Conant.
"
